"year","month","anomaly"
1921,9,-0.165
1922,9,-0.282
1923,9,-0.327
1924,9,-0.284
1925,9,-0.191
1926,9,-0.097
1927,9,-0.134
1928,9,-0.221
1929,9,-0.265
1930,9,-0.079
1931,9,-0.05
1932,9,-0.039
1933,9,-0.235
1934,9,-0.101
1935,9,-0.141
1936,9,-0.108
1937,9,0.115
1938,9,0.056
1939,9,-0.081
1940,9,0.122
1941,9,-0.135
1942,9,0.002
1943,9,-0.025
1944,9,0.293
1945,9,0.161
1946,9,-0.015
1947,9,-0.068
1948,9,-0.056
1949,9,-0.079
1950,9,-0.106
1951,9,0.091
1952,9,0.1
1953,9,0.077
1954,9,-0.086
1955,9,-0.114
1956,9,-0.283
1957,9,0.037
1958,9,-0.053
1959,9,0.041
1960,9,0.064
1961,9,-0.029
1962,9,-0.017
1963,9,0.127
1964,9,-0.282
1965,9,-0.088
1966,9,-0.038
1967,9,-0.093
1968,9,-0.086
1969,9,0.019
1970,9,-0.04
1971,9,-0.124
1972,9,-0.053
1973,9,-0.042
1974,9,-0.129
1975,9,-0.126
1976,9,-0.162
1977,9,0.033
1978,9,-0.054
1979,9,0.092
1980,9,0.039
1981,9,0.072
1982,9,0.075
1983,9,0.188
1984,9,0.033
1985,9,-0.032
1986,9,0.011
1987,9,0.274
1988,9,0.183
1989,9,0.142
1990,9,0.178
1991,9,0.243
1992,9,-0.064
1993,9,0.07
1994,9,0.19
1995,9,0.263
1996,9,0.104
1997,9,0.479
1998,9,0.4
1999,9,0.305
2000,9,0.312
2001,9,0.431
2002,9,0.424
2003,9,0.536
2004,9,0.438
2005,9,0.574
2006,9,0.503
2007,9,0.455
2008,9,0.407
2009,9,0.567
2010,9,0.448
2011,9,0.446
2012,9,0.556
2013,9,0.546
2014,9,0.601
2015,9,0.796
2017,9,0.557
2018,9,0.598
2019,9,0.713
2020,9,0.714
2021,9,0.681
1850,10,-0.451
1851,10,-0.057
1852,10,-0.216
1853,10,-0.362
1854,10,-0.192
1855,10,-0.217
1856,10,-0.391
1857,10,-0.474
1858,10,-0.211
1859,10,-0.249
1860,10,-0.195
1861,10,-0.362
1862,10,-0.42
1863,10,-0.384
1864,10,-0.706
1865,10,-0.27
1866,10,-0.425
1867,10,-0.186
1868,10,-0.238
1869,10,-0.417
1870,10,-0.403
1871,10,-0.48
1872,10,-0.227
1873,10,-0.401
1874,10,-0.433
1875,10,-0.363
1876,10,-0.388
1877,10,0.062
1878,10,-0.122
1879,10,-0.122
1880,10,-0.386
1881,10,-0.275
1882,10,-0.329
1883,10,-0.379
1884,10,-0.332
1885,10,-0.242
1886,10,-0.361
1887,10,-0.499
1888,10,-0.095
1889,10,-0.298
1890,10,-0.498
1891,10,-0.322
1892,10,-0.441
1893,10,-0.274
1894,10,-0.444
1895,10,-0.337
1896,10,-0.123
1897,10,-0.258
1898,10,-0.556
1899,10,-0.188
1900,10,-0.058
1901,10,-0.298
1902,10,-0.477
1903,10,-0.653
1904,10,-0.473
1905,10,-0.363
1906,10,-0.351
1907,10,-0.359
1908,10,-0.579
1909,10,-0.481
1910,10,-0.482
1911,10,-0.465
1912,10,-0.641
1913,10,-0.425
1914,10,-0.146
1915,10,-0.255
1916,10,-0.395
1917,10,-0.385
1918,10,-0.095
1919,10,-0.296
1920,10,-0.233
1921,10,-0.142
1922,10,-0.33
1923,10,-0.27
1924,10,-0.316
1925,10,-0.309
1926,10,-0.088
1927,10,-0.038
1928,10,-0.161
1929,10,-0.176
1930,10,-0.089
1931,10,-0.046
1932,10,-0.176
1933,10,-0.204
1934,10,-0.091
1935,10,-0.075
1936,10,-0.006
1937,10,0.12
1938,10,0.141
1939,10,-0.278
1940,10,0.011
1941,10,0.216
1942,10,-0.084
1943,10,0.229
1944,10,0.209
1945,10,0.173
1946,10,-0.052
1947,10,0.068
1948,10,0.022
1949,10,-0.034
1950,10,-0.129
1951,10,0.135
1952,10,-0.007
1953,10,0.073
1954,10,-0.03
1955,10,-0.166
1956,10,-0.233
1957,10,-0.015
1958,10,0.014
1959,10,-0.034
1960,10,-0.027
1961,10,-0.033
1962,10,0.042
1963,10,0.225
1964,10,-0.267
1965,10,-0.024
1966,10,-0.104
1967,10,0.062
1968,10,-0.021
1969,10,0.031
1970,10,-0.075
1971,10,-0.165
1972,10,0.007
1973,10,-0.047
1974,10,-0.22
1975,10,-0.234
1976,10,-0.316
1977,10,-0.005
1978,10,-0.112
1979,10,0.135
1980,10,0.011
1981,10,0.004
1982,10,0.006
1983,10,0.099
1984,10,-0.022
1985,10,0.018
1986,10,0.066
1987,10,0.204
1988,10,0.139
1989,10,0.151
1990,10,0.332
1991,10,0.191
1992,10,-0.048
1993,10,0.109
1994,10,0.311
1995,10,0.336
1996,10,0.132
1997,10,0.558
1998,10,0.407
1999,10,0.253
2000,10,0.225
2001,10,0.421
2002,10,0.411
2003,10,0.612
2004,10,0.464
2005,10,0.614
2006,10,0.569
2007,10,0.467
2008,10,0.546
2009,10,0.516
2010,10,0.497
2011,10,0.458
2012,10,0.556
2013,10,0.516
2014,10,0.635
2015,10,0.845
2017,10,0.571
2018,10,0.678
2019,10,0.752
2020,10,0.617
2021,10,NA
1850,11,-0.187
1851,11,-0.02
1852,11,-0.193
1853,11,-0.255
1854,11,-0.367
1855,11,-0.214
1856,11,-0.608
1857,11,-0.668
1858,11,-0.643
1859,11,-0.315
1860,11,-0.515
1861,11,-0.417
1862,11,-0.766
1863,11,-0.329
1864,11,-0.472
1865,11,-0.2
1866,11,-0.309
1867,11,-0.314
1868,11,-0.505
1869,11,-0.371
1870,11,-0.17
1871,11,-0.538
1872,11,-0.244
1873,11,-0.464
1874,11,-0.501
1875,11,-0.503
1876,11,-0.586
1877,11,0.096
1878,11,-0.2
1879,11,-0.39
1880,11,-0.408
1881,11,-0.334
1882,11,-0.312
1883,11,-0.312
1884,11,-0.567
1885,11,-0.262
1886,11,-0.423
1887,11,-0.404
1888,11,-0.194
1889,11,-0.398
1890,11,-0.555
1891,11,-0.541
1892,11,-0.627
1893,11,-0.415
1894,11,-0.42
1895,11,-0.297
1896,11,-0.286
1897,11,-0.453
1898,11,-0.449
1899,11,0.028
1900,11,-0.263
1901,11,-0.442
1902,11,-0.538
1903,11,-0.634
1904,11,-0.387
1905,11,-0.218
1906,11,-0.427
1907,11,-0.581
1908,11,-0.596
1909,11,-0.42
1910,11,-0.652
1911,11,-0.374
1912,11,-0.518
1913,11,-0.264
1914,11,-0.183
1915,11,-0.138
1916,11,-0.572
1917,11,-0.386
1918,11,-0.05
1919,11,-0.532
1920,11,-0.289
1921,11,-0.301
1922,11,-0.292
1923,11,-0.021
1924,11,-0.361
1925,11,-0.063
1926,11,-0.109
1927,11,-0.173
1928,11,-0.153
1929,11,-0.072
1930,11,0.078
1931,11,-0.153
1932,11,-0.235
1933,11,-0.316
1934,11,0.022
1935,11,-0.308
1936,11,-0.071
1937,11,0.002
1938,11,0.021
1939,11,-0.129
1940,11,-0.067
1941,11,0.051
1942,11,-0.066
1943,11,0.014
1944,11,0.007
1945,11,-0.012
1946,11,-0.094
1947,11,0.047
1948,11,-0.059
1949,11,-0.081
1950,11,-0.391
1951,11,-0.035
1952,11,-0.186
1953,11,-0.067
1954,11,0.022
1955,11,-0.316
1956,11,-0.262
1957,11,0.055
1958,11,0.011
1959,11,-0.111
1960,11,-0.149
1961,11,-0.018
1962,11,0.01
1963,11,0.164
1964,11,-0.295
1965,11,-0.13
1966,11,-0.095
1967,11,-0.059
1968,11,-0.071
1969,11,0.131
1970,11,-0.05
1971,11,-0.086
1972,11,0.002
1973,11,-0.099
1974,11,-0.217
1975,11,-0.319
1976,11,-0.18
1977,11,0.141
1978,11,0.046
1979,11,0.146
1980,11,0.129
1981,11,0.072
1982,11,-0.009
1983,11,0.256
1984,11,-0.121
1985,11,-0.072
1986,11,-0.007
1987,11,0.197
1988,11,0.027
1989,11,0.06
1990,11,0.318
1991,11,0.16
1992,11,-0.084
1993,11,-0.036
1994,11,0.314
1995,11,0.324
1996,11,0.146
1997,11,0.501
1998,11,0.298
1999,11,0.241
2000,11,0.16
2001,11,0.613
2002,11,0.45
2003,11,0.457
2004,11,0.604
2005,11,0.627
2006,11,0.54
2007,11,0.391
2008,11,0.526
2009,11,0.55
2010,11,0.592
2011,11,0.353
2012,11,0.55
2013,11,0.66
2014,11,0.504
2015,11,0.84
2017,11,0.554
2018,11,0.59
2019,11,0.693
2020,11,0.761
2021,11,NA
1850,12,-0.257
1851,12,-0.051
1852,12,0.073
1853,12,-0.437
1854,12,-0.233
1855,12,-0.518
1856,12,-0.449
1857,12,-0.358
1858,12,-0.304
1859,12,-0.363
1860,12,-0.762
1861,12,-0.247
1862,12,-0.887
1863,12,-0.341
1864,12,-0.615
1865,12,-0.342
1866,12,-0.334
1867,12,-0.628
1868,12,-0.131
1869,12,-0.358
1870,12,-0.72
1871,12,-0.561
1872,12,-0.426
1873,12,-0.272
1874,12,-0.404
1875,12,-0.506
1876,12,-0.716
1877,12,0.17
1878,12,-0.356
1879,12,-0.515
1880,12,-0.294
1881,12,-0.13
1882,12,-0.471
1883,12,-0.323
1884,12,-0.415
1885,12,-0.155
1886,12,-0.42
1887,12,-0.395
1888,12,-0.169
1889,12,-0.179
1890,12,-0.411
1891,12,-0.115
1892,12,-0.793
1893,12,-0.34
1894,12,-0.41
1895,12,-0.318
1896,12,-0.034
1897,12,-0.477
1898,12,-0.346
1899,12,-0.45
1900,12,-0.075
1901,12,-0.428
1902,12,-0.526
1903,12,-0.604
1904,12,-0.407
1905,12,-0.199
1906,12,-0.283
1907,12,-0.525
1908,12,-0.568
1909,12,-0.591
1910,12,-0.666
1911,12,-0.293
1912,12,-0.484
1913,12,-0.232
1914,12,-0.249
1915,12,-0.253
1916,12,-0.629
1917,12,-0.635
1918,12,-0.232
1919,12,-0.46
1920,12,-0.358
1921,12,-0.147
1922,12,-0.308
1923,12,-0.014
1924,12,-0.53
1925,12,0.001
1926,12,-0.244
1927,12,-0.422
1928,12,-0.24
1929,12,-0.488
1930,12,-0.079
1931,12,-0.105
1932,12,-0.194
1933,12,-0.531
1934,12,-0.142
1935,12,-0.274
1936,12,-0.014
1937,12,-0.113
1938,12,-0.296
1939,12,0.229
1940,12,0.161
1941,12,0.095
1942,12,0
1943,12,0.191
1944,12,-0.034
1945,12,-0.202
1946,12,-0.361
1947,12,-0.175
1948,12,-0.198
1949,12,-0.19
1950,12,-0.25
1951,12,0.18
1952,12,-0.062
1953,12,0.091
1954,12,-0.232
1955,12,-0.337
1956,12,-0.209
1957,12,0.151
1958,12,0.03
1959,12,-0.069
1960,12,0.146
1961,12,-0.117
1962,12,-0.012
1963,12,-0.006
1964,12,-0.353
1965,12,-0.065
1966,12,-0.14
1967,12,-0.147
1968,12,-0.11
1969,12,0.194
1970,12,-0.166
1971,12,-0.199
1972,12,0.187
1973,12,-0.113
1974,12,-0.242
1975,12,-0.309
1976,12,-0.087
1977,12,-0.051
1978,12,-0.098
1979,12,0.355
1980,12,0.055
1981,12,0.265
1982,12,0.25
1983,12,0.089
1984,12,-0.274
1985,12,0.014
1986,12,0.01
1987,12,0.322
1988,12,0.146
1989,12,0.201
1990,12,0.248
1991,12,0.12
1992,12,0.082
1993,12,0.129
1994,12,0.246
1995,12,0.132
1996,12,0.232
1997,12,0.503
1998,12,0.472
1999,12,0.37
2000,12,0.157
2001,12,0.383
2002,12,0.325
2003,12,0.589
2004,12,0.355
2005,12,0.462
2006,12,0.691
2007,12,0.341
2008,12,0.395
2009,12,0.484
2010,12,0.334
2011,12,0.402
2012,12,0.271
2013,12,0.532
2014,12,0.655
2015,12,1.024
2017,12,0.6
2018,12,0.638
2019,12,0.88
2020,12,0.516
2021,12,NA
